,SHEETBAR,DATE,LATITUDE,LONGITUDE,FLDNUM,STRATUM,LOCATCD,TN,TP,TEMP,DO,TURB,COND,VEL,SS,WDP,CHLcal,SECCHI,MONTH,SEASON,YEAR,PREDICTED_TN,PREDICTED_TP,PREDICTED_TEMP,PREDICTED_DO,PREDICTED_TURB,PREDICTED_COND,PREDICTED_VEL,PREDICTED_SS,PREDICTED_WDP,PREDICTED_CHLcal,PREDICTED_SECCHI
0,41000065,07/26/1993,44.5718639790648,-92.5109700947267,1,1,9312103,,,23.0,6.6,28.0,550.0,,42.3,2.2,9.44875,40.0,7,SUMMER,1993,3.3358537115608353,0.17109167294398847,23.0,6.6,28.0,550.0,0.2762490584017284,42.3,2.2,9.44875,40.0
1,41000066,07/26/1993,44.5754969975756,-92.5184967843587,1,1,9312002,4.876,0.229,23.0,6.6,28.0,554.0,,37.6,8.2,8.2423,42.0,7,SUMMER,1993,4.876,0.229,23.0,6.6,28.0,554.0,0.2878567268482274,37.6,8.2,8.2423,42.0
2,41000067,07/26/1993,44.573717668164,-92.5235494052137,1,1,9312102,,,22.9,6.3,24.0,564.0,,34.1,4.3,8.72488,43.0,7,SUMMER,1993,4.045670003166448,0.20419039424591423,22.9,6.3,24.0,564.0,0.11000001396155785,34.1,4.3,8.72488,43.0
3,41000068,07/26/1993,44.5665880081517,-92.541238238606,1,1,9312003,4.257,0.212,22.9,6.4,28.0,563.0,,33.4,9.1,8.48359,38.0,7,SUMMER,1993,4.257,0.212,22.9,6.4,28.0,563.0,0.024873735275192703,33.4,9.1,8.48359,38.0
4,41000069,07/26/1993,44.5684185743623,-92.5487800712698,1,1,9312104,,,23.0,6.6,33.0,556.0,,48.0,6.7,9.52918,45.0,7,SUMMER,1993,3.7251059342378765,0.18915432977453434,23.0,6.6,33.0,556.0,0.024096761756080245,48.0,6.7,9.52918,45.0
5,41000070,07/26/1993,44.5882532891846,-92.5561854361639,1,1,9312101,,,22.9,6.7,31.0,550.0,,49.6,5.0,8.88574,37.0,7,SUMMER,1993,3.7245,0.1975,22.9,6.7,31.0,550.0,0.010398863641508329,49.6,5.0,8.88574,37.0
6,41000071,07/26/1993,44.6063895822036,-92.5913326949347,1,1,9312001,4.3,0.171,22.8,6.8,32.0,525.0,,49.6,7.8,9.28789,48.0,7,SUMMER,1993,4.3,0.171,22.8,6.8,32.0,525.0,0.01011877187123704,49.6,7.8,9.28789,48.0
7,41000072,07/26/1993,44.5936546716017,-92.5561443278541,1,2,9312014,4.034,0.227,22.8,6.7,31.0,530.0,,49.6,3.7,10.57477,49.0,7,SUMMER,1993,4.034,0.227,22.8,6.7,31.0,530.0,0.010406073902749736,49.6,3.7,10.57477,49.0
8,41000073,07/26/1993,44.5900241265605,-92.5486129395352,1,2,9312015,4.192,0.24,22.9,6.7,30.0,537.0,,50.0,3.3,10.01176,38.0,7,SUMMER,1993,4.192,0.24,22.9,6.7,30.0,537.0,0.010699610125053091,50.0,3.3,10.01176,38.0
9,41000074,07/26/1993,44.5845620089137,-92.5335385850446,1,2,9312113,,,22.8,6.6,28.0,526.0,,46.1,3.5,8.64445,46.0,7,SUMMER,1993,3.090536918771747,0.16045029688476287,22.8,6.6,28.0,526.0,0.08883037015235182,46.1,3.5,8.64445,46.0
10,41000075,07/26/1993,44.5791810990503,-92.5386200198341,1,3,9312030,4.394,0.214,23.0,6.9,22.0,543.0,0.05,22.4,2.5,12.10294,48.0,7,SUMMER,1993,4.394,0.214,23.0,6.9,22.0,543.0,0.05,22.4,2.5,12.10294,48.0
11,41000076,07/26/1993,44.5791295217687,-92.526024413583,1,2,9312115,,,23.0,6.6,29.0,530.0,,48.0,2.6,10.17262,44.0,7,SUMMER,1993,3.266999996666695,0.16999999888889833,23.0,6.6,29.0,530.0,0.06644177019665262,48.0,2.6,10.17262,44.0
