,SHEETBAR,TN,TP,TEMP,DO,TURB,COND,VEL,SS,WDP,CHLcal,SECCHI,LONGITUDE,LATITUDE,DATE,FLDNUM,LOCATCD,STRATUM,YEAR,PREDICTED_TN,PREDICTED_TP
0,-4103818,3.2,0.123,0.8,11.6,3.0,510.0,0.13,-1.0,3.2,,263.0,-92.0526307739314,44.3987672570414,02/13/1993,1,M761.5E,,1993,3.2,0.123
1,-4103809,3.92,0.152,0.0,11.3,1.0,660.0,,-1.0,4.9,,269.0,-92.1340042423484,44.4232707508319,02/12/1993,1,M766.0I,,1993,3.92,0.152
2,-4102504,4.85,0.101,0.0,12.4,3.0,310.0,0.06,-1.0,1.25,,152.0,-91.980507575227,44.3919432727923,02/06/1992,1,M758.6Y,3.0,1992,4.85,0.101
3,-4102501,5.36,0.134,0.7,12.6,2.0,610.0,0.32,-1.0,2.89,,210.0,-92.0526307739314,44.3987672570414,02/06/1992,1,M761.5E,1.0,1992,5.36,0.134
4,41002603,3.48,0.096,17.3,10.7,13.0,546.0,1.3,-0.1,2.4,,53.0,-91.8792059875384,44.2042449894926,05/30/1995,1,M742.8D,,1995,3.48,0.096
5,41002999,1.549,0.156,23.7,7.8,8.0,391.0,,-3.1,7.1,,86.0,-92.1340042423484,44.4232707508319,09/08/1995,1,M766.0I,,1995,1.549,0.156
6,41004183,3.347,0.219,23.8,6.7,7.0,471.0,,5.2,3.0,6.8255,112.0,-92.1003227423022,44.412720173832,07/25/1996,1,9612005,1.0,1996,3.347,0.219
7,41004184,1.991,0.145,23.9,6.8,5.0,476.0,,3.4,7.0,9.6407,117.0,-92.1028620082225,44.4109395810874,07/25/1996,1,9612006,1.0,1996,1.991,0.145
8,41004185,0.864,0.245,23.3,8.8,27.0,146.0,,47.6,1.67,17.87516,38.0,-92.0877920640281,44.4108202136005,07/25/1996,1,9612007,1.0,1996,0.864,0.245
9,41004189,1.993,0.142,23.9,6.8,6.0,481.0,,3.7,4.9,6.89588,131.0,-92.0653020200903,44.4034361025224,07/25/1996,1,9612076,1.0,1996,1.993,0.142
10,41004193,1.14,0.212,24.3,10.3,12.0,215.0,0.07,14.2,0.88,20.26808,50.0,-92.0341477195126,44.3887723258869,07/25/1996,1,9612049,3.0,1996,1.14,0.212
11,41004196,1.333,0.118,24.5,8.5,7.0,225.0,0.08,7.0,1.1,12.59666,76.0,-92.0203541035764,44.3877545600271,07/25/1996,1,9612050,3.0,1996,1.333,0.118
12,41004197,1.262,0.271,23.6,8.5,10.0,220.0,0.29,10.1,0.43,14.28578,43.0,-92.0033464170271,44.3912085578755,07/25/1996,1,9612023,2.0,1996,1.262,0.271
13,41004201,1.222,0.233,23.5,8.4,9.0,215.0,0.27,9.5,4.2,15.55262,70.0,-92.013472606114,44.3863448978332,07/25/1996,1,9612024,2.0,1996,1.222,0.233
14,41004202,1.415,0.213,23.9,11.3,24.0,489.0,0.01,28.8,0.62,62.14418,32.0,-91.9863567231693,44.3563979288071,07/26/1996,1,9612042,3.0,1996,1.415,0.213
15,41004203,1.972,0.258,23.4,7.5,17.0,486.0,0.02,17.8,0.68,15.2711,38.0,-91.9850243972934,44.3608875509603,07/26/1996,1,9612054,3.0,1996,1.972,0.258
16,41004204,1.973,0.191,24.1,6.2,25.0,474.0,0.09,28.1,0.78,9.49994,34.0,-91.9926144308943,44.3573535848596,07/26/1996,1,9612056,3.0,1996,1.973,0.191
17,41004208,1.914,0.147,26.3,9.4,10.0,467.0,0.09,6.0,0.45,7.95158,45.0,-91.9949775308249,44.3659271622579,07/26/1996,1,9612041,3.0,1996,1.914,0.147
18,41004209,1.49,0.113,23.8,7.9,6.0,345.0,,5.4,3.7,10.76678,127.0,-91.9905083184973,44.3703891953031,07/26/1996,1,9612009,1.0,1996,1.49,0.113
19,41004210,1.323,0.095,23.6,8.3,7.0,243.0,,7.3,2.2,15.13034,99.0,-91.9904773904111,44.3721894997895,07/26/1996,1,9612008,1.0,1996,1.323,0.095
20,41004216,1.215,0.094,24.6,8.9,10.0,235.0,0.3,9.0,0.79,14.98958,79.0,-91.9816380640813,44.3752620376767,07/26/1996,1,9612220,3.0,1996,1.215,0.094
21,41004217,0.229,0.114,26.4,10.0,10.0,230.0,0.08,11.8,0.7,12.52628,59.0,-91.9916705659689,44.3758011939623,07/26/1996,1,9612053,3.0,1996,0.229,0.114
22,41004219,1.109,0.128,28.9,12.9,16.0,210.0,0.16,15.5,6.1,28.2914,54.0,-91.9615657069645,44.3746311581179,07/26/1996,1,9612015,2.0,1996,1.109,0.128
23,41004220,1.825,0.162,23.0,7.2,12.0,460.0,,13.2,3.3,13.79312,51.0,-91.9504067041685,44.3317653111087,07/29/1996,1,9612044,3.0,1996,1.825,0.162
24,41004221,1.856,0.205,23.1,7.5,10.0,458.0,,10.0,0.45,12.87818,45.0,-91.9422551673838,44.3316901112325,07/29/1996,1,9612045,3.0,1996,1.856,0.205
25,41004222,2.948,0.173,23.1,7.4,14.0,462.0,,15.3,1.7,14.49692,50.0,-91.9373201295997,44.3271428266766,07/29/1996,1,9612046,3.0,1996,2.948,0.173
26,41004223,1.822,0.148,23.3,7.6,16.0,391.0,,17.8,4.0,12.66704,56.0,-91.930390524975,44.3288787328207,07/29/1996,1,9612018,2.0,1996,1.822,0.148
27,41004225,1.592,0.15,23.2,7.9,17.0,363.0,,21.7,1.8,13.01894,47.0,-91.9303578026314,44.3306790161048,07/29/1996,1,9612017,2.0,1996,1.592,0.15
28,41004227,1.763,0.154,23.2,7.4,9.0,453.0,,8.5,1.5,10.83716,80.0,-91.9409281812684,44.3357291389282,07/29/1996,1,9612013,1.0,1996,1.763,0.154
29,41004228,1.916,0.147,23.1,7.3,10.0,460.0,,9.9,1.5,12.38552,68.0,-91.945912595712,44.3375758363628,07/29/1996,1,9612083,1.0,1996,1.916,0.147
30,41004234,2.129,0.292,22.4,11.7,22.0,307.0,,30.8,1.1,72.9827,29.0,-91.9301204742686,44.3437310523028,07/29/1996,1,9612043,3.0,1996,2.129,0.292
31,41004235,1.733,0.149,23.3,7.7,14.0,388.0,,17.7,4.3,14.84882,56.0,-91.9482600783627,44.3466004081056,07/29/1996,1,9612012,1.0,1996,1.733,0.149
32,41004238,1.824,0.155,23.4,7.8,10.0,459.0,,10.4,0.61,12.94856,61.0,-91.9619870338697,44.3507773017176,07/29/1996,1,9612029,2.0,1996,1.824,0.155
33,41004239,1.759,0.154,23.6,8.3,8.0,446.0,,7.0,1.8,11.68172,82.0,-91.9557225607345,44.3502700508285,07/29/1996,1,9612011,1.0,1996,1.759,0.154
34,41004241,1.861,0.227,23.6,7.9,9.0,444.0,,9.1,0.83,12.52628,70.0,-91.961931416792,44.3539278169684,07/29/1996,1,9612016,2.0,1996,1.861,0.227
35,41004244,1.542,0.154,23.3,8.6,15.0,308.0,,15.5,2.7,14.00426,57.0,-91.9574207396259,44.3606389128215,07/29/1996,1,9612026,2.0,1996,1.542,0.154
36,41004245,1.444,0.347,23.2,8.8,36.0,266.0,,56.5,0.48,21.67568,26.0,-91.9530453131613,44.3596985983993,07/29/1996,1,9612027,2.0,1996,1.444,0.347
37,41004246,1.167,0.238,23.1,8.3,20.0,247.0,,22.9,3.0,20.61998,39.0,-91.9468122292331,44.3573905655373,07/29/1996,1,9612028,2.0,1996,1.167,0.238
38,41004247,1.176,0.273,24.2,9.4,24.0,257.0,,32.2,0.44,29.27672,32.0,-91.9423967392531,44.3587002000645,07/29/1996,1,9612055,3.0,1996,1.176,0.273
39,41004248,1.062,0.167,23.3,9.4,30.0,215.0,,37.5,0.98,30.68432,45.0,-91.9682627351847,44.3863955873924,07/29/1996,1,9612051,3.0,1996,1.062,0.167
40,41004250,1.761,0.155,23.7,7.8,13.0,420.0,,18.2,2.1,12.8078,60.0,-91.9556586151837,44.3538706326932,07/29/1996,1,9612010,1.0,1996,1.761,0.155
41,41004251,1.31,0.139,22.4,6.8,17.0,248.0,0.02,17.3,0.69,11.68172,45.0,-91.9775683955287,44.3775844334527,07/30/1996,1,9612040,3.0,1996,1.31,0.139
42,41004253,1.21,0.179,24.4,9.8,21.0,258.0,0.06,25.6,1.35,24.63164,42.0,-91.9765317245595,44.3801679770066,07/30/1996,1,9612039,3.0,1996,1.21,0.179
43,41004254,1.356,0.174,22.0,6.9,27.0,266.0,0.02,31.8,0.52,23.0129,30.0,-91.9903381782741,44.3802908627164,07/30/1996,1,9612052,3.0,1996,1.356,0.174
44,41004257,1.276,0.152,22.5,8.6,19.0,240.0,0.07,20.0,1.42,16.60832,52.0,-91.9826748619122,44.387875299553,07/30/1996,1,9612109,3.0,1996,1.276,0.152
45,41004262,1.084,0.168,22.8,8.7,27.0,199.0,0.06,33.0,1.02,23.3648,34.0,-91.9837588042364,44.3977880907703,07/30/1996,1,9612038,3.0,1996,1.084,0.168
46,41004264,1.254,0.168,24.2,9.0,24.0,240.0,0.08,35.5,0.73,18.29744,38.0,-91.9919041619375,44.398760561307,07/30/1996,1,9612037,3.0,1996,1.254,0.168
47,41004265,1.234,0.156,24.5,9.0,22.0,242.0,0.03,24.4,0.64,15.2711,36.0,-91.9950401390644,44.39968848272,07/30/1996,1,9612036,3.0,1996,1.234,0.156
48,41004267,1.12,0.199,24.4,8.8,38.0,197.0,0.05,54.0,0.5,22.87214,25.0,-91.9911884030925,44.4046060891438,07/30/1996,1,9612035,3.0,1996,1.12,0.199
49,41004269,0.841,,21.9,8.7,10.0,121.0,,17.2,1.09,,86.0,-92.0841852655924,44.4101521483094,07/31/1996,1,CH00.1M,,1996,0.841,0.22050016063246256
50,41004270,1.936,,23.4,8.5,6.0,460.0,,5.3,4.9,,90.0,-92.100457850966,44.4121000425779,07/31/1996,1,M764.3A,,1996,1.936,0.20183104938991278
51,41004272,1.883,,23.2,7.5,5.0,461.0,,3.1,5.5,,148.0,-92.1340042423484,44.4232707508319,07/31/1996,1,M766.0I,,1996,1.883,0.1813971461659893
52,41004286,1.635,,22.5,8.4,12.0,385.0,,15.2,,,,-91.8115154090745,44.1602915361276,08/01/1996,1,M738.2F,,1996,1.635,0.126451995522953
53,41004287,2.857,,16.1,9.7,7.0,546.0,,12.5,,,,-91.922129028355,44.2087004968765,08/01/1996,1,WW01.3M,,1996,2.857,0.1389431496807488
54,41004288,1.623,,23.2,8.3,9.0,433.0,,11.2,7.0,,71.0,-91.9238723691241,44.3231816562913,08/01/1996,1,M752.8Y,,1996,1.623,0.1267295645263949
55,41004289,1.037,,22.5,8.6,11.0,247.0,,14.3,3.1,,68.0,-91.9194452714098,44.3245533232048,08/01/1996,1,M752.8Z,,1996,1.037,0.1489484352952711
56,41004290,2.84,,22.6,9.4,12.0,580.0,,25.7,2.0,,86.0,-91.927464876255,44.2918850692161,08/01/1996,1,ZM00.1M,,1996,2.84,0.1386974666845313
57,41004291,1.592,,23.2,8.6,9.0,305.0,,9.4,3.1,,86.0,-91.8805425583996,44.2611846511353,08/01/1996,1,M746.9Y,,1996,1.592,0.1263905699181168
58,41004292,1.62,,24.0,9.2,11.0,393.0,0.47,14.2,1.6,,72.0,-91.8786171498415,44.2352729380653,08/01/1996,1,M745.2L,,1996,1.62,0.12638715339567522
59,41004293,1.712,,23.1,11.1,16.0,407.0,0.55,19.7,1.87,,39.0,-91.8792059875384,44.2042449894926,08/01/1996,1,M742.8D,,1996,1.712,0.13885207892900808
