"TN","TP","DO","TURB","COND","VEL","SS","WDP","CHLcal","SECCHI"
NA,NA,6.6,28,550,NA,42.3,2.2,9.44875,40
4.876,0.229,6.6,28,554,NA,37.6,8.2,8.2423,42
NA,NA,6.3,24,564,NA,34.1,4.3,8.72488,43
4.257,0.212,6.4,28,563,NA,33.4,9.1,8.48359,38
NA,NA,6.6,33,556,NA,48,6.7,9.52918,45
NA,NA,6.7,31,550,NA,49.6,5,8.88574,37
4.3,0.171,6.8,32,525,NA,49.6,7.8,9.28789,48
4.034,0.227,6.7,31,530,NA,49.6,3.7,10.57477,49
4.192,0.24,6.7,30,537,NA,50,3.3,10.01176,38
NA,NA,6.6,28,526,NA,46.1,3.5,8.64445,46
4.394,0.214,6.9,22,543,0.05,22.4,2.5,12.10294,48
NA,NA,6.6,29,530,NA,48,2.6,10.17262,44
NA,NA,6.1,23,522,0.1,21.2,2,11.78122,53
NA,NA,6.5,31,523,NA,49.2,2.4,10.17262,45
NA,NA,6.4,28,523,NA,49.5,2.3,9.93133,38
3.819,0.221,6.3,24,527,NA,30.5,2.5,11.94208,37
4.056,0.231,6.4,20,538,0.09,20.5,1.9,10.49434,53
3.757,0.231,6.5,27,547,0.27,34.1,2.7,11.62036,50
3.904,0.21,6.6,21,549,0.1,18.8,2.4,12.82681,54
NA,NA,6.3,31,550,NA,44.7,2.8,10.97692,44
NA,NA,6.4,21,528,0.04,21.4,2.1,12.58552,60
NA,NA,6.7,19,515,0.04,19.3,2.2,15.64186,56
NA,NA,6.4,22,564,0.13,20.7,2,11.70079,50
NA,NA,6.7,31,552,NA,45.7,2.5,16.2853,45
NA,NA,6.8,17,536,0.62,19.5,1.5,8.2423,56
4.234,0.225,6.9,17,537,0.58,19,1.8,9.52918,52
4.088,0.226,7,15,540,0.27,14.5,0.8,8.88574,60
NA,NA,6.8,15,538,0.33,15.9,3.5,9.12703,57
3.84,0.227,7.1,15,537,0.2,18.7,3,9.77047,54
3.923,0.229,7.1,17,536,0.16,17.4,3.3,10.25305,65
3.436,0.221,7,16,535,NA,16.8,3.5,11.13778,65
3.831,0.221,7.2,15,525,0.54,14.5,0.8,8.72488,64
NA,NA,7.4,15,529,NA,14.1,1.6,10.01176,64
3.902,0.225,7.3,15,540,NA,12.7,5.6,10.09219,70
3.331,0.232,7.7,18,468,NA,26.3,3.8,10.6552,60
2.88,0.226,6.7,20,422,NA,28.1,4.2,9.20746,55
2.457,0.221,7.7,16,334,0.04,19.4,1.7,49.98547,50
NA,NA,6.6,20,489,NA,25.5,1,12.74638,50
2.604,0.207,15,16,297,NA,28.2,0.7,79.58371,46
2.39,0.225,9.3,21,317,0,40.2,0.6,33.09517,NA
NA,NA,14.7,21,295,0.01,31.3,0.7,98.3239,42
2.433,0.278,19.9,36,272,0.03,111,0.6,126.31354,35
NA,NA,14,15,309,0.02,19.7,2,81.59446,50
NA,NA,16.4,11,298,0.08,16.4,2.1,64.06072,58
NA,NA,19.4,18,298,0,26.8,1.9,149.39695,45
3.601,0.236,6.6,14,530,NA,12.2,4.1,9.8509,75
3.546,0.225,6.6,14,540,NA,14.6,0.6,8.88574,60
NA,NA,6.9,15,505,NA,13.2,5.8,10.01176,64
NA,NA,6.8,13,538,NA,11.9,3.9,9.28789,71
3.722,0.227,6.9,14,541,NA,13.5,2,10.41391,68
