,SHEETBAR,DATE,LATITUDE,LONGITUDE,FLDNUM,STRATUM,LOCATCD,TN,TP,TEMP,DO,TURB,COND,VEL,SS,WDP,CHLcal,SECCHI,YEAR,MONTH,SEASON,PredictedTN,PredictedTP,PredictedVEL
0,45001691,10/10/1995,37.2665076518749,-89.5253515247057,5,1,9553023,2.514,0.129,13.37484,8.9,44.0,649.0,,47.7,8.0,13.37484,,1995,10,FALL,2.514,0.129,0.1506133172104412
1,45001692,10/10/1995,37.2915014729414,-89.5174350437006,5,1,9553022,1.399,0.095,11.99852,9.0,44.0,648.0,,46.5,8.2,11.99852,,1995,10,FALL,1.399,0.095,0.3435732013386566
2,45001693,10/10/1995,37.2882694589114,-89.5147651587016,5,2,9553072,1.273,0.084,12.2414,8.8,25.0,647.0,0.01,25.6,5.0,12.2414,41.0,1995,10,FALL,1.273,0.084,0.01
3,45001694,10/10/1995,37.286936464108,-89.5153905105582,5,2,9553132,1.172,0.13,11.26988,8.7,38.0,647.0,0.61,,2.3,11.26988,,1995,10,FALL,1.172,0.13,0.61
4,45001698,10/10/1995,37.2829540350079,-89.5178294251827,5,2,9553149,,,11.99852,8.9,34.0,647.0,0.04,31.6,3.4,11.99852,40.0,1995,10,FALL,1.2294645743581383,0.10382801563886768,0.04
5,45001699,10/10/1995,37.2768900317261,-89.5107807509981,5,2,9553073,1.332,0.126,13.77964,8.8,37.0,647.0,0.31,35.1,1.3,13.77964,41.0,1995,10,FALL,1.332,0.126,0.31
6,45001700,10/10/1995,37.2690595027801,-89.5049422904219,5,2,9553056,1.184,0.093,6.81708,9.2,18.0,649.0,0.0,12.8,6.0,6.81708,,1995,10,FALL,1.184,0.093,0.0
7,45001701,10/10/1995,37.26632706103,-89.5039414548969,5,2,9553133,,,8.51724,9.3,18.0,648.0,0.02,33.2,6.0,8.51724,,1995,10,FALL,1.2928478799356133,0.08230819998106279,0.02
8,45001702,10/10/1995,37.2662438186126,-89.5011271132063,5,2,9553074,1.302,0.085,7.70764,9.2,17.0,649.0,0.1,14.1,2.0,7.70764,50.0,1995,10,FALL,1.302,0.085,0.1
9,45001703,10/10/1995,37.2648942419403,-89.5011896292075,5,2,9553057,1.285,0.08,8.27436,9.5,16.0,648.0,0.06,13.0,2.7,8.27436,,1995,10,FALL,1.285,0.08,0.06
10,45001704,10/10/1995,37.245900220554,-89.4986881213259,5,2,9553046,2.007,0.561,10.05548,8.6,31.0,665.0,0.02,49.3,2.8,10.05548,35.0,1995,10,FALL,2.007,0.561,0.02
11,45001705,10/10/1995,37.261628595537,-89.4973956582291,5,2,9553134,,,10.94604,9.3,27.0,650.0,0.06,19.7,3.6,10.94604,40.0,1995,10,FALL,1.2249238726770733,0.14080404815513686,0.06
12,45001706,10/10/1995,37.2580464027451,-89.4981253121592,5,2,9553135,1.133,0.121,11.99852,9.6,24.0,653.0,0.02,,1.1,11.99852,47.0,1995,10,FALL,1.133,0.121,0.02
13,45001710,10/10/1995,37.258462922215,-89.4969788464066,5,2,9553059,1.198,0.164,10.6222,9.2,28.0,649.0,0.01,18.2,3.5,10.6222,45.0,1995,10,FALL,1.198,0.164,0.01
14,45001711,10/10/1995,37.259779143465,-89.4957906371781,5,2,9553058,1.263,0.108,10.54124,9.1,27.0,649.0,0.04,21.9,2.0,10.54124,,1995,10,FALL,1.263,0.108,0.04
15,45001712,10/10/1995,37.2551637808229,-89.4920598100449,5,2,9553150,,,11.26988,9.2,27.0,649.0,0.0,19.7,1.4,11.26988,40.0,1995,10,FALL,1.3623999925831873,0.08799999882272813,0.0
16,45001713,10/10/1995,37.2546805326075,-89.4909551438034,5,2,9553060,1.312,0.08,12.07948,9.2,26.0,649.0,0.14,23.3,1.4,12.07948,,1995,10,FALL,1.312,0.08,0.14
17,45001714,10/10/1995,37.254230677785,-89.4909760347044,5,2,9553136,,,10.94604,9.2,29.0,649.0,0.53,24.7,1.0,10.94604,,1995,10,FALL,1.3683581252665944,0.08894573416930072,0.53
18,45001715,10/10/1995,37.2568295552094,-89.4874739406441,5,2,9553075,1.375,0.09,10.86508,10.2,28.0,655.0,0.05,22.5,2.2,10.86508,,1995,10,FALL,1.375,0.09,0.05
19,45001716,10/10/1995,37.2542454536926,-89.4763231507408,5,1,9553024,1.419,0.118,13.61772,9.1,46.0,648.0,,48.3,5.0,13.61772,,1995,10,FALL,1.419,0.118,0.10019789353097554
20,45001717,10/11/1995,37.2409771300644,-89.4544039357436,5,1,9553025,1.35,0.084,11.91756,8.7,42.0,625.0,,39.9,2.3,11.91756,,1995,10,FALL,1.35,0.084,0.2948640181366137
21,45001718,10/11/1995,37.2411793488154,-89.4611557805007,5,1,9553103,,,12.56524,8.7,46.0,630.0,,,4.6,12.56524,,1995,10,FALL,1.3877246203161018,0.10814375700230522,0.29429819555759384
22,45001719,10/11/1995,37.2251195510294,-89.4664138750345,5,1,9553026,1.4,0.116,12.16044,8.7,48.0,629.0,,50.5,5.3,12.16044,,1995,10,FALL,1.4,0.116,0.28241073665015926
23,45001720,10/11/1995,37.2215207883355,-89.4665819766964,5,1,9553104,,,12.88908,8.7,48.0,628.0,,49.4,4.9,12.88908,,1995,10,FALL,1.318157846864022,0.12491350182669064,0.2843007556571653
24,45001721,10/11/1995,37.2094756647271,-89.4705236514191,5,2,9553121,,,15.39884,8.6,44.0,629.0,,37.4,10.1,15.39884,35.0,1995,10,FALL,1.345009882745286,0.13205603107091057,0.28859779315092154
25,45001722,10/11/1995,37.2069239948643,-89.4605052304222,5,1,9553027,1.299,0.127,12.80812,8.8,42.0,625.0,,44.1,3.5,12.80812,36.0,1995,10,FALL,1.299,0.127,0.2841865089085232
26,45001723,10/11/1995,37.2033925160924,-89.4629230062284,5,1,9553028,1.39,0.137,16.45132,8.7,46.0,627.0,,48.4,5.6,16.45132,34.0,1995,10,FALL,1.39,0.137,0.28534695620921907
27,45001724,10/11/1995,37.20145855742,-89.4585081830414,5,1,9553105,,,14.91308,8.8,44.0,626.0,,49.6,5.4,14.91308,37.0,1995,10,FALL,1.83089001854115,0.12150298704600528,0.2839127880192504
28,45001725,10/11/1995,37.1995918361455,-89.4563429704569,5,1,9553029,2.528,0.097,11.10796,8.8,43.0,626.0,,48.7,6.0,11.10796,37.0,1995,10,FALL,2.528,0.097,0.2833575245207927
29,45001726,10/11/1995,37.1889302126279,-89.4613462894302,5,1,9553106,,,12.07948,8.8,45.0,630.0,,51.3,4.6,12.07948,35.0,1995,10,FALL,1.8902730953835831,0.11941570842236968,0.025143570702865162
30,45001727,10/11/1995,37.1832627421172,-89.4526028588554,5,1,9553107,,,12.80812,8.7,48.0,627.0,,50.5,4.6,12.80812,33.0,1995,10,FALL,1.4217947815948038,0.07617217405788519,0.02495732696941406
31,45001728,10/11/1995,37.1759303891316,-89.4484425025013,5,1,9553030,1.465,0.07,13.21292,8.7,47.0,626.0,,53.9,5.0,13.21292,32.0,1995,10,FALL,1.465,0.07,0.024955813363039744
32,45001729,10/11/1995,37.1721966323577,-89.4441140686646,5,1,9553031,1.395,0.08,12.56524,8.7,45.0,626.0,,48.1,4.7,12.56524,32.0,1995,10,FALL,1.395,0.08,0.02495122699489845
33,45001730,10/11/1995,37.1612650101994,-89.4401128285327,5,1,9553108,,,12.56524,8.7,45.0,626.0,,47.7,7.5,12.56524,32.0,1995,10,FALL,1.4360050734405463,0.07414213236563623,0.02496038934650349
34,45001731,10/11/1995,37.1466672554406,-89.4340451873906,5,1,9553109,,,13.13196,8.7,49.0,630.0,,54.4,3.5,13.13196,30.0,1995,10,FALL,0.8742259327043658,0.09595410303337917,0.0250208044518136
35,45001732,10/11/1995,37.1299984123605,-89.4190753949642,5,1,9553032,1.236,0.121,12.6462,8.7,46.0,627.0,,49.9,6.9,12.6462,28.0,1995,10,FALL,1.236,0.121,0.02534080484598216
36,45001733,10/11/1995,37.1281311091449,-89.4169131117233,5,1,9553110,,,13.4558,8.6,46.0,627.0,,48.6,7.4,13.4558,26.0,1995,10,FALL,0.6879379346718997,0.08305724163113151,0.025377658136939964
37,45001734,10/11/1995,37.126263771548,-89.4147509344625,5,1,9553111,,,12.88908,8.6,47.0,626.0,,51.4,6.0,12.88908,28.0,1995,10,FALL,0.7605967026418943,0.08808746402905422,0.009635585843522467
38,45001735,10/11/1995,37.1372026835802,-89.4041062669275,5,2,9553048,0.586,0.076,12.32236,10.6,22.0,723.0,0.02,12.6,0.79,12.32236,50.0,1995,10,FALL,0.586,0.076,0.02
39,45001736,10/11/1995,37.1320326034738,-89.3970371774685,5,2,9553049,0.511,0.117,14.34636,7.8,33.0,649.0,0.01,22.0,0.5,14.34636,40.0,1995,10,FALL,0.511,0.117,0.01
40,45001737,10/11/1995,37.1297493144717,-89.3960203623396,5,2,9553122,,,19.77068,11.0,33.0,634.0,0.01,21.3,0.85,19.77068,40.0,1995,10,FALL,0.6483430165035569,0.09229279068189983,0.01
41,45001738,10/11/1995,37.124351497124,-89.3962766339988,5,2,9553123,,,21.06604,13.4,20.0,625.0,0.0,14.3,5.7,21.06604,55.0,1995,10,FALL,1.0533054219775142,0.05838771217684734,0.0
42,45001739,10/11/1995,37.123400555648,-89.3946341089006,5,2,9553076,0.7,0.083,16.2894,13.5,23.0,626.0,0.0,11.7,1.3,16.2894,55.0,1995,10,FALL,0.7,0.083,0.0
43,45001740,10/11/1995,37.1192324088598,-89.3908943695732,5,2,9553077,1.117,0.062,7.86956,11.4,19.0,627.0,0.02,9.2,2.2,7.86956,55.0,1995,10,FALL,1.117,0.062,0.02
44,45001741,10/11/1995,37.1188339447877,-89.392600871475,5,2,9553078,1.145,0.052,11.10796,11.2,20.0,627.0,0.09,9.7,0.7,11.10796,60.0,1995,10,FALL,1.145,0.052,0.09
45,45001742,10/11/1995,37.1179000798102,-89.3915202104209,5,2,9553137,,,7.54572,11.6,20.0,625.0,0.06,9.2,5.8,7.54572,60.0,1995,10,FALL,1.130219807490866,0.05727864018183358,0.06
46,45001743,10/11/1995,37.1165677460381,-89.392146027612,5,2,9553079,1.344,0.066,13.94156,9.2,25.0,628.0,0.0,14.8,3.6,13.94156,45.0,1995,10,FALL,1.344,0.066,0.0
47,45001744,10/12/1995,37.3736856901355,-89.4334838636587,5,2,9553147,,,6.5742,10.7,37.0,605.0,0.0,,4.8,6.5742,40.0,1995,10,FALL,1.335509340798518,0.09677532653856122,0.0
48,45001745,10/12/1995,37.385728551599,-89.4295256309461,5,2,9553146,,,9.8126,8.8,26.0,626.0,0.0,19.3,4.0,9.8126,45.0,1995,10,FALL,1.4062874978120332,0.11903249518647316,0.0
49,45001746,10/12/1995,37.3921281813572,-89.4326091655875,5,2,9553145,,,9.56972,11.3,24.0,641.0,0.0,15.4,4.5,9.56972,48.0,1995,10,FALL,1.4642773768352615,0.12018229506002684,0.0
50,45001747,10/12/1995,37.4023034436537,-89.4264797307019,5,1,9553010,1.521,0.126,12.16044,8.7,43.0,630.0,,51.6,6.6,12.16044,35.0,1995,10,FALL,1.521,0.126,0.0
51,45001748,10/12/1995,37.4022351715385,-89.4242243833786,5,1,9553011,3.304,0.093,12.80812,8.7,42.0,620.0,,51.9,6.7,12.80812,,1995,10,FALL,3.304,0.093,0.0
52,45001749,10/12/1995,37.4004359269671,-89.4243099865018,5,1,9553012,1.404,0.114,12.16044,8.7,46.0,622.0,,53.6,7.4,12.16044,35.0,1995,10,FALL,1.404,0.114,0.0
53,45001750,10/12/1995,37.3798868643954,-89.4151264880855,5,2,9553069,1.409,0.125,13.37484,8.7,25.0,616.0,0.1,40.1,4.6,13.37484,45.0,1995,10,FALL,1.409,0.125,0.1
54,45001751,10/12/1995,37.372518755536,-89.4098333791349,5,2,9553148,,,27.46188,12.8,22.0,619.0,0.06,17.7,5.9,27.46188,48.0,1995,10,FALL,1.3628285455255573,0.10726748487575752,0.06
55,45001752,10/12/1995,37.3685218695925,-89.4117172672834,5,2,9553070,1.271,0.072,10.78412,12.6,15.0,620.0,0.05,10.2,2.1,10.78412,55.0,1995,10,FALL,1.271,0.072,0.05
56,45001753,10/12/1995,37.3565651270574,-89.4184946203432,5,2,9553071,0.664,0.031,7.3838,15.3,15.0,646.0,0.06,10.8,3.4,7.3838,60.0,1995,10,FALL,0.664,0.031,0.06
57,45001754,10/12/1995,37.3661819173256,-89.4236807345953,5,1,9553095,,,12.2414,8.6,45.0,624.0,,50.3,6.0,12.2414,35.0,1995,10,FALL,0.9579500082675771,0.050854942897809986,0.05515733100053415
58,45001755,10/12/1995,37.3644508851364,-89.4260204520686,5,1,9553096,,,14.18444,8.6,46.0,626.0,,,6.3,14.18444,38.0,1995,10,FALL,0.9979009291271347,0.05355344002341437,0.02845559606253989
59,45001756,10/12/1995,37.3607841517381,-89.4239372258954,5,1,9553097,,,12.2414,8.9,45.0,614.0,,49.6,7.6,12.2414,,1995,10,FALL,1.2161473568539314,0.0648551891047561,0.053272415380592145
60,45001757,10/12/1995,37.3519242014041,-89.4288722422224,5,1,9553013,1.561,0.086,16.6942,8.9,46.0,616.0,,50.6,4.9,16.6942,,1995,10,FALL,1.561,0.086,0.05306183824216615
61,45001758,10/12/1995,37.3450671332859,-89.4404818118935,5,1,9553098,,,12.72716,8.9,47.0,627.0,,57.3,5.3,12.72716,35.0,1995,10,FALL,1.3659999019656208,0.11900002114467001,0.023972847495805204
62,45001759,10/12/1995,37.3431999269789,-89.4383132353246,5,1,9553015,1.468,0.097,12.32236,8.8,47.0,621.0,,,11.4,12.32236,,1995,10,FALL,1.468,0.097,0.023711801468914627
63,45001763,10/12/1995,37.3434713197009,-89.4473277414203,5,1,9553014,1.566,0.101,10.6222,8.8,38.0,630.0,,22.8,1.5,10.6222,40.0,1995,10,FALL,1.566,0.101,0.02443140624857952
64,45001764,10/12/1995,37.3416042323674,-89.4451590275158,5,1,9553016,1.315,0.13,13.53676,8.6,50.0,628.0,,55.2,3.5,13.53676,,1995,10,FALL,1.315,0.13,0.024213360946713627
65,45001765,10/12/1995,37.3416720119269,-89.4474126118053,5,1,9553099,1.541,0.129,13.77964,8.5,49.0,627.0,,,6.1,13.77964,,1995,10,FALL,1.541,0.129,0.024443667821302313
66,45001769,10/12/1995,37.3383440492283,-89.4565963140386,5,1,9553101,,,14.75116,8.6,46.0,620.0,,53.5,7.7,14.75116,,1995,10,FALL,1.5541966014181336,0.11421980641169027,0.014997254798614261
67,45001770,10/12/1995,37.340210937023,-89.4587652413463,5,1,9553100,,,13.8606,8.5,47.0,625.0,,55.5,6.7,13.8606,38.0,1995,10,FALL,1.5538411635706213,0.11461789680090428,0.025052691340134926
68,45001771,10/12/1995,37.3373525239082,-89.4837229781371,5,1,9553017,1.583,0.125,12.40332,8.5,47.0,627.0,,54.7,8.7,12.40332,35.0,1995,10,FALL,1.583,0.125,0.015248812173991481
69,45001772,10/12/1995,37.3339547234503,-89.4906512921654,5,1,9553102,,,14.42732,8.5,46.0,627.0,,56.7,9.0,14.42732,35.0,1995,10,FALL,1.5334712709428366,0.11658946110350057,0.015079540496055123
70,45001773,10/12/1995,37.3286234251905,-89.4931559992916,5,1,9553018,1.477,0.107,13.69868,8.6,47.0,624.0,,53.1,9.3,13.69868,38.0,1995,10,FALL,1.477,0.107,0.014973035229122005
71,45001774,10/12/1995,37.3128289861824,-89.5074264206766,5,1,9553019,1.714,0.114,9.8126,8.5,44.0,618.0,,20.1,13.3,9.8126,,1995,10,FALL,1.714,0.114,0.31816658107199675
72,45001775,10/12/1995,37.3021653794672,-89.5124314921283,5,1,9553020,1.283,0.116,12.2414,8.5,47.0,617.0,,47.4,5.6,12.2414,,1995,10,FALL,1.283,0.116,0.3241772792930733
73,45001776,10/12/1995,37.2986993030443,-89.5171028038246,5,1,9553021,1.508,0.157,12.07948,8.5,47.0,624.0,,50.4,8.4,12.07948,35.0,1995,10,FALL,1.508,0.157,0.3266644562523437
74,45001777,10/13/1995,37.5692201147838,-89.5249029497489,5,1,9553082,,,13.53676,8.8,68.0,627.0,,61.5,8.0,13.53676,35.0,1995,10,FALL,1.4844188792533903,0.15096333746283266,0.8537522802954965
75,45001778,10/13/1995,37.5564244011485,-89.5187080123563,5,1,9553083,,,9.65068,8.8,33.0,608.0,,21.7,6.0,9.65068,,1995,10,FALL,1.8453412999700236,0.11912759230999814,0.8549523134036493
76,45001779,10/13/1995,37.5418958689984,-89.5148587314121,5,1,9553084,,,12.16044,8.6,63.0,606.0,,,3.4,12.16044,,1995,10,FALL,1.6073428019001774,0.1097849866726397,0.8560709211972843
77,45001780,10/13/1995,37.5402299464555,-89.5194620256378,5,1,9553085,,,12.16044,8.7,63.0,618.0,,61.8,6.8,12.16044,35.0,1995,10,FALL,1.60519371994395,0.10982484599794837,0.856306073235334
78,45001781,10/13/1995,37.5384305590543,-89.519545767644,5,1,9553086,,,11.10796,8.6,66.0,626.0,,67.9,8.0,11.10796,35.0,1995,10,FALL,1.5928054859817027,0.11005461231564076,0.8564130122207441
79,45001782,10/13/1995,37.5328321963291,-89.5130184544434,5,1,9553004,2.081,0.101,11.18892,8.7,65.0,617.0,,,8.0,11.18892,33.0,1995,10,FALL,2.081,0.101,0.8565649167371043
