,SHEETBAR,DATE,LATITUDE,LONGITUDE,FLDNUM,STRATUM,LOCATCD,TN,TP,TEMP,DO,TURB,COND,VEL,SS,WDP,CHLcal,SECCHI,MONTH,SEASON,YEAR,PREDICTED_TN,PREDICTED_TP,PREDICTED_TEMP,PREDICTED_DO,PREDICTED_TURB,PREDICTED_COND,PREDICTED_VEL,PREDICTED_SS,PREDICTED_WDP,PREDICTED_CHLcal,PREDICTED_SECCHI
0,45001219,04/24/1995,37.3093631582019,-89.5120986472015,5,1,9551101,,,12.9,8.5,210.0,417.0,,,12.1,12.87946,13.0,4,SPRING,1995,2.7205,0.20800000000000002,12.9,8.5,210.0,417.0,0.5665170695348194,158.79994251302702,12.1,12.87946,13.0
1,45001220,04/24/1995,37.3112290612062,-89.5142682549248,5,1,9551100,,,13.0,8.5,230.0,414.0,,,9.4,12.25618,15.0,4,SPRING,1995,2.7205,0.20800000000000002,13.0,8.5,230.0,414.0,0.5654235596108117,176.74005567964326,9.4,12.25618,15.0
2,45001221,04/24/1995,37.3233588415956,-89.4979134857708,5,1,9551099,,,12.9,8.6,220.0,418.0,,,12.7,12.43426,,4,SPRING,1995,7.217751701758854,0.44675014023912524,12.9,8.6,220.0,418.0,0.5304154114937174,226.90495154877684,12.7,12.43426,15.0
3,45001222,04/24/1995,37.3250914588211,-89.4955766620634,5,1,9551018,7.961,0.508,12.8,8.6,210.0,418.0,,,14.7,11.36578,15.0,4,SPRING,1995,7.961,0.508,12.8,8.6,210.0,418.0,0.5222200414527464,212.7204066458723,14.7,11.36578,15.0
4,45001223,04/24/1995,37.3284896055601,-89.4886493951196,5,1,9551017,4.282,0.11,12.8,8.6,210.0,418.0,,,5.8,11.98906,15.0,4,SPRING,1995,4.282,0.11,12.8,8.6,210.0,418.0,0.4937155687493795,182.30956115265533,5.8,11.98906,15.0
5,45001224,04/24/1995,37.3372854425649,-89.4814694344246,5,1,9551098,,,13.0,8.8,220.0,414.0,,,14.4,12.0781,,4,SPRING,1995,3.4107030196015335,0.18792893268846342,13.0,8.8,220.0,414.0,0.4911096492750463,164.799987206895,14.4,12.0781,30.0
6,45001225,04/24/1995,37.3289531911778,-89.4739610412943,5,2,9551116,,,13.1,8.8,210.0,417.0,,,12.1,15.28354,,4,SPRING,1995,4.425512887623636,0.2438619523470617,13.1,8.8,210.0,417.0,0.47289550547289194,150.0299949289866,12.1,15.28354,14.0
7,45001226,04/24/1995,37.3294198392754,-89.4745033142326,5,2,9551041,4.692,0.251,13.1,8.8,210.0,417.0,,,13.7,28.63954,,4,SPRING,1995,4.692,0.251,13.1,8.8,210.0,417.0,0.4651689973907198,151.15102478468705,13.7,28.63954,13.999999999999998
8,45001227,04/25/1995,37.4647693361122,-89.4664543161915,5,1,9551091,,,12.7,8.8,190.0,468.0,,253.0,6.8,11.98906,,4,SPRING,1995,3.3576538294212317,0.27590167653080566,12.7,8.8,190.0,468.0,0.10440004280782762,253.0,6.8,11.98906,14.52786587753555
9,45001228,04/25/1995,37.4112996778434,-89.4260518695609,5,1,9551095,,,12.6,8.7,180.0,463.0,,321.9,13.5,11.72194,,4,SPRING,1995,2.536286385085491,0.2690892018643137,12.6,8.7,180.0,463.0,0.10340874838653816,321.9,13.5,11.72194,19.715947318839362
